ts_code,trade_date,close,open,high,low,volume
000001.SH,19980311,1190.037,1201.262,1210.525,1187.442,3655966
000001.SH,19980312,1178.97,1187.538,1188.282,1175.554,2504100
000001.SH,19980313,1184.961,1177.817,1184.961,1176.005,2331528
000001.SH,19980316,1188.482,1186.186,1188.617,1179.44,3018911
000001.SH,19980317,1202.835,1193.668,1202.839,1193.239,3733760
000001.SH,19980318,1193.909,1204.103,1204.741,1191.906,3622608
000001.SH,19980319,1188.715,1192.397,1195.829,1184.871,3359438
000001.SH,19980320,1187.501,1188.595,1192.323,1183.247,2789824
000001.SH,19980323,1179.869,1186.561,1186.861,1178.044,3610322
000001.SH,19980324,1194.017,1180.093,1194.056,1179.973,3519725
000001.SH,19980325,1191.553,1207.616,1209.766,1188.853,4125855
000001.SH,19980326,1188.865,1191.001,1193.816,1186.223,4520501
000001.SH,19980327,1223.565,1189.409,1223.928,1188.855,6828855
000001.SH,19980330,1249.435,1230.944,1249.443,1228.299,7296184
000001.SH,19980331,1243.016,1251.343,1252.242,1238.644,6091676
000001.SH,19980401,1254.965,1243.373,1255.01,1240.058,6222174
000001.SH,19980402,1269.015,1259.593,1285.032,1259.583,10312029
000001.SH,19980403,1286.084,1268.569,1286.107,1266.032,7910901
000001.SH,19980406,1306.378,1291.614,1306.383,1286.43,10207026
000001.SH,19980407,1303.14,1308.556,1310.288,1296.542,16278826
000001.SH,19980408,1322.793,1303.408,1322.828,1302.413,14139193
000001.SH,19980409,1297.225,1326.444,1328.789,1288.888,15117022
000001.SH,19980410,1311.514,1294.617,1311.528,1293.588,14626799
000001.SH,19980413,1318.748,1319.945,1326.295,1311.832,12145809
000001.SH,19980414,1313.721,1318.274,1320.909,1304.375,8553116
000001.SH,19980415,1324.707,1314.165,1324.707,1314.068,9554503
000001.SH,19980416,1316.246,1324.037,1326.424,1312.565,9441175
000001.SH,19980417,1298.107,1311.544,1311.73,1291.081,8786014
000001.SH,19980420,1296.005,1292.162,1302.982,1286.585,7377140
000001.SH,19980421,1305.223,1296.772,1307.856,1295.058,6563455
000001.SH,19980422,1332.182,1307.832,1333.066,1307.832,7902049
000001.SH,19980423,1324.559,1337.489,1340.252,1321.04,10653131
000001.SH,19980424,1315.167,1324.455,1331.855,1313.609,9704622
000001.SH,19980427,1310.378,1314.35,1318.797,1303.482,11064606
000001.SH,19980428,1332.99,1315.346,1333.09,1315.328,9589329
000001.SH,19980429,1332.499,1337.894,1341.581,1328.563,8270673
000001.SH,19980430,1343.448,1336.01,1343.46,1335.549,8858593
000001.SH,19980504,1352.926,1353.056,1355.516,1345.359,11036491
000001.SH,19980505,1352.52,1355.045,1356.056,1346.592,8019245
000001.SH,19980506,1348.412,1352.723,1355.657,1341.806,7638295
000001.SH,19980507,1327.873,1348.888,1352.552,1326.65,7958195
000001.SH,19980508,1357.595,1324.742,1357.604,1324.724,16861233
000001.SH,19980511,1354.606,1367.242,1368.026,1351.593,13421615
000001.SH,19980512,1349.649,1358.958,1360.064,1342.733,8679696
000001.SH,19980513,1369.262,1351.18,1369.304,1351.003,10200862
000001.SH,19980514,1367.127,1373.171,1376.298,1360.891,12367815
000001.SH,19980515,1368.087,1373.427,1379.127,1361.843,10216419
000001.SH,19980518,1368.183,1373.67,1376.384,1360.469,8261204
000001.SH,19980519,1362.292,1370.675,1372.871,1355.539,6231354
000001.SH,19980520,1357.431,1362.694,1365.102,1352.166,6720300
000001.SH,19980521,1366.656,1356.959,1367.716,1350.26,6761925
000001.SH,19980522,1375.817,1371.365,1379.891,1370.72,8001902
000001.SH,19980525,1389.366,1380.126,1389.656,1376.201,10706885
000001.SH,19980526,1390.416,1392.75,1394.439,1383.759,8752337
000001.SH,19980527,1399.542,1393.738,1399.542,1390.55,8827416
000001.SH,19980528,1397.895,1402.853,1405.582,1392.9,8308787
000001.SH,19980529,1411.206,1402.675,1411.347,1402.018,9508796
000001.SH,19980601,1415.575,1418.354,1420.553,1411.061,9839901
000001.SH,19980602,1413.08,1419.221,1419.577,1402.625,7950942
000001.SH,19980603,1420,1415.019,1421.121,1413.112,8558169
000001.SH,19980604,1406.303,1420.986,1422.979,1402.746,7636490
000001.SH,19980605,1408.614,1404.075,1414.362,1390.632,7567916
000001.SH,19980608,1403.73,1411.956,1415.18,1401.055,6688325
000001.SH,19980609,1369.65,1400.347,1400.347,1357.465,7226897
000001.SH,19980610,1368.297,1367.741,1377.834,1359.392,5355221
000001.SH,19980611,1347.677,1367.555,1371.152,1346.069,4239517
000001.SH,19980612,1383.388,1373.11,1383.466,1365.083,5425097
000001.SH,19980615,1365.341,1385.327,1386.985,1359.876,5488431
000001.SH,19980616,1348.588,1362.591,1362.593,1323.528,5929275
000001.SH,19980617,1348.942,1349.003,1356.662,1344.444,5131605
000001.SH,19980618,1370.685,1352.235,1372.12,1352.235,5243717
000001.SH,19980619,1392.878,1376.194,1392.878,1376.194,5359102
000001.SH,19980622,1399.356,1400.468,1401.511,1392.056,6433844
000001.SH,19980623,1397.956,1398.238,1398.706,1385.452,6393473
000001.SH,19980624,1401.742,1399.708,1402.138,1390.855,6315300
000001.SH,19980625,1382.036,1402.952,1404.049,1377.177,5065461
000001.SH,19980626,1385.618,1383.29,1388.554,1376.406,10178135
000001.SH,19980629,1361.432,1387.024,1387.192,1356.216,6015491
000001.SH,19980630,1339.202,1360.615,1363.59,1335.212,3810656
000001.SH,19980701,1316.441,1363.265,1367.147,1315.184,5550416
000001.SH,19980702,1331.65,1314.1,1331.652,1296.997,4845889
000001.SH,19980703,1335.125,1335.836,1341.73,1327.797,5450636
000001.SH,19980706,1315.283,1339.261,1339.678,1313.276,4627863
000001.SH,19980707,1324.4,1313.649,1324.405,1307.907,3515220
000001.SH,19980708,1338.984,1326.817,1339.16,1326.625,3452984
000001.SH,19980709,1343.232,1341.354,1344.431,1336.66,3988182
000001.SH,19980710,1360.619,1344.749,1360.642,1344.634,5297925
000001.SH,19980713,1358.813,1362.688,1362.997,1352.157,4795185
000001.SH,19980714,1336.558,1360.614,1361.186,1334.707,5156275
000001.SH,19980715,1335.466,1332.412,1341.642,1326.324,4335965
000001.SH,19980716,1325.633,1335.299,1337.641,1317.886,4355452
000001.SH,19980717,1314.715,1325.88,1330.816,1311.754,5126150
000001.SH,19980720,1287.073,1311.059,1311.153,1278.301,4853887
000001.SH,19980721,1313.01,1285.785,1318.934,1284.798,4077168
000001.SH,19980722,1299.148,1312.226,1312.365,1295.614,3494924
000001.SH,19980723,1316.271,1299.217,1316.285,1299.154,4108168
000001.SH,19980724,1326.821,1317.848,1330.492,1317.848,4109076
000001.SH,19980727,1321.899,1328.336,1328.727,1314.732,3954971
000001.SH,19980728,1317.946,1321.634,1324.274,1313.202,3401691
000001.SH,19980729,1311.94,1317.929,1321.264,1308.262,3850139
000001.SH,19980730,1315.302,1312.855,1318.021,1309.774,9860431
000001.SH,19980731,1316.919,1316.307,1319.358,1312.377,4825760
000001.SH,19980803,1302.102,1315.135,1315.47,1299.927,4622575
000001.SH,19980804,1293.457,1299.729,1299.729,1283.199,4159886
000001.SH,19980805,1307.44,1293.704,1307.481,1293.124,5682483
000001.SH,19980806,1294.162,1310.296,1312.604,1292.394,6236446
000001.SH,19980807,1271.069,1292.082,1292.311,1267.921,5676227
000001.SH,19980810,1234.581,1262.008,1262.032,1227.473,4890102
000001.SH,19980811,1207.672,1230.379,1241.781,1206.635,3627140
000001.SH,19980812,1190.554,1204.362,1207.725,1158.787,5306028
000001.SH,19980813,1204.18,1193.369,1205.855,1185.573,4214021
000001.SH,19980814,1168.026,1202.378,1202.378,1165.868,4689208
000001.SH,19980817,1070.41,1152.673,1152.673,1068.656,5361820
000001.SH,19980818,1071.3,1054.182,1094.379,1043.022,5309127
000001.SH,19980819,1126.081,1072.74,1126.081,1072.72,7199985
000001.SH,19980820,1149.907,1128.753,1149.957,1113.855,6440398
000001.SH,19980821,1177.623,1149.622,1178.738,1141.507,7170023
000001.SH,19980824,1178.554,1178.551,1190.881,1166.143,7292800
000001.SH,19980825,1179.066,1174.408,1179.105,1159.388,6366485
000001.SH,19980826,1160.288,1174.847,1182.334,1159.52,6644549
000001.SH,19980827,1145.216,1152.358,1154.693,1142.168,4680063
000001.SH,19980828,1129.722,1139.815,1146.512,1125.197,4504187
000001.SH,19980831,1150.223,1117.97,1150.229,1072.422,5612657
000001.SH,19980901,1143.125,1142.5,1163.171,1123.635,5622089
000001.SH,19980902,1136.89,1137.305,1149.269,1129.805,4057826
000001.SH,19980903,1147.197,1136.442,1151.009,1136.138,3656841
000001.SH,19980904,1163.527,1148.954,1169.469,1148.943,5276275
000001.SH,19980907,1178.375,1168.365,1178.377,1163.205,4907531
000001.SH,19980908,1167.597,1181.067,1185.097,1166.659,6025118
000001.SH,19980909,1190.683,1165.656,1190.737,1162.468,6320131
000001.SH,19980910,1213.674,1194.875,1219.795,1194.115,10190773
000001.SH,19980911,1218.005,1214.832,1225.144,1206.611,8687870
000001.SH,19980914,1239.605,1219.318,1239.769,1214.442,12520165
000001.SH,19980915,1230.126,1240.944,1245.424,1228.876,10596866
000001.SH,19980916,1252.138,1226.904,1252.202,1225.29,9419148
000001.SH,19980917,1233.703,1257.379,1264.398,1226.722,11191366
000001.SH,19980918,1207.001,1227.56,1233.403,1199.582,8887182
000001.SH,19980921,1222.379,1199.168,1222.379,1193.821,6041948
000001.SH,19980922,1222.634,1224.395,1229.618,1214.016,5329662
000001.SH,19980923,1229.862,1223.99,1233.792,1222.361,5413091
000001.SH,19980924,1199.061,1231.049,1232.278,1196.923,7166078
000001.SH,19980925,1221.578,1194.313,1221.578,1192.076,5309184
000001.SH,19980928,1230.211,1224.266,1239.801,1217.652,6996815
000001.SH,19980929,1231.747,1231.899,1239.108,1226.842,5584417
000001.SH,19980930,1242.896,1233.589,1242.943,1233.429,5611272
000001.SH,19981005,1234.779,1245.737,1246.603,1231.4,4504095
000001.SH,19981006,1217.457,1234.142,1237.844,1214.828,5012908
000001.SH,19981007,1213.785,1214.363,1219.103,1207.929,5274522
000001.SH,19981008,1228.71,1215.952,1228.731,1215.87,4873150
000001.SH,19981009,1236.932,1231.942,1241.05,1229.846,6284638
000001.SH,19981012,1247.146,1239.565,1247.244,1227.859,7039820
000001.SH,19981013,1244.068,1250.676,1257.35,1239.77,7027968
000001.SH,19981014,1240.595,1243.714,1247.661,1234.066,5325806
000001.SH,19981015,1254.814,1243.195,1254.84,1241.258,6299013
000001.SH,19981016,1251.525,1259.144,1263.713,1249.931,7013483
000001.SH,19981019,1246.236,1255.051,1256.756,1240.449,5713473
000001.SH,19981020,1243.645,1248.235,1251.433,1238.304,5451338
000001.SH,19981021,1207.825,1243.538,1243.602,1206.118,7465233
000001.SH,19981022,1216.094,1202.208,1216.168,1191.557,6369171
000001.SH,19981023,1217.429,1217.128,1230.828,1215.473,6731134
000001.SH,19981026,1208.266,1215.559,1215.559,1195.244,6722033
000001.SH,19981027,1216.788,1207.202,1218.446,1204.735,5103062
000001.SH,19981028,1225.929,1218.496,1226.113,1217.232,5241782
000001.SH,19981029,1216.76,1226.924,1229.743,1214.92,4580666
000001.SH,19981030,1217.316,1216.014,1225.642,1215.455,4692935
000001.SH,19981102,1223.478,1217.338,1223.531,1210.846,4348542
000001.SH,19981103,1236.872,1225.263,1236.965,1225.217,4742017
000001.SH,19981104,1235.804,1239.498,1240.701,1232.78,4604591
000001.SH,19981105,1253.275,1237.544,1253.31,1237.508,6918229
000001.SH,19981106,1259.765,1258.695,1267.394,1257.171,10106382
000001.SH,19981109,1283.121,1263.963,1283.124,1263.958,8778119
000001.SH,19981110,1286.559,1283.918,1288.738,1275.193,7898536
000001.SH,19981111,1286.199,1287.422,1288.353,1278.473,6657489
000001.SH,19981112,1282.988,1286.557,1295.064,1278.94,6745534
000001.SH,19981113,1282.508,1281.99,1285.923,1271.323,5640455
000001.SH,19981116,1293.743,1284.335,1293.762,1281.601,5825646
000001.SH,19981117,1290.595,1296.626,1300.152,1285.021,5655216
000001.SH,19981118,1285.503,1291.002,1292.928,1281.595,5451822
000001.SH,19981119,1275.607,1283.962,1284.139,1274.087,4871674
000001.SH,19981120,1275.374,1272.656,1279.375,1271.655,4504673
000001.SH,19981123,1273.785,1275.903,1278.085,1269.099,4564038
000001.SH,19981124,1278.916,1274.446,1282.927,1274.414,6718641
000001.SH,19981125,1263.85,1280.265,1283.961,1262.227,4966802
000001.SH,19981126,1252.818,1260.075,1262.782,1247.844,4351326
000001.SH,19981127,1245.081,1252.373,1259.041,1242.567,4275890
000001.SH,19981130,1247.417,1244.922,1247.417,1238.135,4046778
000001.SH,19981201,1234.358,1249.007,1251.868,1231.996,3879527
000001.SH,19981202,1236.969,1233.162,1236.969,1222.645,3423890
000001.SH,19981203,1232.506,1238.292,1239.263,1229.853,3767116
000001.SH,19981204,1219.196,1232.433,1234.632,1213.555,3700420
000001.SH,19981207,1209.541,1234.759,1237.691,1207.758,3344392
000001.SH,19981208,1223.258,1209.835,1223.338,1209.811,2977797
000001.SH,19981209,1224.087,1224.357,1225.989,1219.013,2567503
000001.SH,19981210,1204.635,1224.149,1224.925,1203.065,3513077
000001.SH,19981211,1214.21,1201.846,1214.243,1194.067,3183443
000001.SH,19981214,1196.296,1214.603,1214.671,1194.656,2825688
000001.SH,19981215,1194.844,1193.638,1194.89,1173.921,3308838
000001.SH,19981216,1183.062,1194.942,1195.549,1180.864,2399984
000001.SH,19981217,1160.09,1180.166,1180.166,1158.507,3448844
000001.SH,19981218,1155.92,1155.751,1167.636,1150.721,2859909
000001.SH,19981221,1154.428,1153.663,1163.239,1150.386,2338726
000001.SH,19981222,1185.966,1155.63,1185.979,1155.622,3520388
000001.SH,19981223,1172.512,1186.979,1187.914,1170.157,2917591
000001.SH,19981224,1168.981,1171.708,1171.708,1161.849,2654896
000001.SH,19981225,1173.913,1169.602,1178.917,1169.54,2977074
000001.SH,19981228,1159.937,1175.63,1179.003,1157.698,3366096
000001.SH,19981229,1142.729,1157.477,1157.567,1139.986,3166236
000001.SH,19981230,1148.264,1141.885,1151.719,1125.559,3710301
000001.SH,19981231,1146.7,1149.832,1153.15,1140.356,2317843
000001.SH,19990104,1125.819,1144.888,1144.889,1124.213,2339517
000001.SH,19990105,1119.965,1123.696,1123.696,1104.501,2891920
000001.SH,19990106,1132.59,1120.668,1137.208,1120.402,3255491
000001.SH,19990107,1137.729,1133.165,1140.482,1125.669,3715075
000001.SH,19990108,1168.814,1138.768,1168.838,1138.768,4436240
000001.SH,19990111,1172.813,1169.913,1174.427,1158.544,3962658
000001.SH,19990112,1158.868,1171.743,1171.865,1158.296,4624921
000001.SH,19990113,1148.154,1153.294,1159.94,1144.448,4461641
000001.SH,19990114,1148.655,1145.898,1153.098,1142.352,3230412
000001.SH,19990115,1137.309,1149.782,1150.675,1136.304,3854682
000001.SH,19990118,1153.119,1135.085,1153.418,1126.706,4477097
000001.SH,19990119,1158.551,1154.16,1160.264,1149.37,4442966
000001.SH,19990120,1151.374,1159.025,1162.975,1148.806,4063705
000001.SH,19990121,1158.499,1150.302,1158.51,1145.297,4474945
000001.SH,19990122,1162.35,1159.917,1168.182,1157.148,5536576
000001.SH,19990125,1148.123,1161.98,1162.438,1146.973,7913127
000001.SH,19990126,1138.21,1145.067,1146.123,1132.955,6203293
000001.SH,19990127,1146.493,1137.692,1146.5,1134.132,7570979
000001.SH,19990128,1140.975,1147.866,1150.579,1137.121,6254345
000001.SH,19990129,1134.673,1139.835,1140.125,1130.332,5151585
000001.SH,19990201,1120.531,1131.651,1131.66,1118.548,5084152
000001.SH,19990202,1126.404,1119.779,1126.408,1114.79,3989973
000001.SH,19990203,1116.865,1126.842,1127.273,1115.131,3714841
000001.SH,19990204,1103.497,1114.647,1114.689,1102.49,3891062
000001.SH,19990205,1081.442,1101.478,1101.478,1079.218,4085180
000001.SH,19990208,1065.816,1076.816,1082.456,1064.174,3523808
000001.SH,19990209,1090.087,1065.907,1090.169,1065.907,3275662
000001.SH,19990301,1097.975,1092.145,1098.36,1084.156,2885407
000001.SH,19990302,1100.919,1098.294,1103.25,1090.044,4040064
000001.SH,19990303,1128.736,1101.132,1128.779,1101.066,5590344
000001.SH,19990304,1128.954,1130.343,1133.728,1120.706,4951400
000001.SH,19990305,1132.357,1128.618,1137.959,1124.086,5201943
000001.SH,19990308,1142.107,1133.508,1142.148,1128.386,5631702
000001.SH,19990309,1136.941,1143.102,1145.708,1135.374,5900199
000001.SH,19990310,1132.736,1136.022,1136.08,1127.17,5326390
000001.SH,19990311,1149.925,1133.287,1153.843,1133.153,6941610
000001.SH,19990312,1158.702,1151.99,1158.712,1148.665,7064437
000001.SH,19990315,1164.639,1161.494,1169.699,1159.145,7295911
000001.SH,19990316,1166.93,1164.791,1166.965,1155.935,6598637
000001.SH,19990317,1159.096,1167.719,1173.041,1158.588,7548775
000001.SH,19990318,1151.991,1155.271,1160.679,1147.569,5927449
000001.SH,19990319,1172.933,1150.609,1172.933,1150.34,7165931
000001.SH,19990322,1172.743,1175.675,1179.65,1168.336,7695285
000001.SH,19990323,1170.949,1172.977,1174.476,1163.28,8784440
000001.SH,19990324,1169.034,1171.302,1177.341,1167.104,6132947
000001.SH,19990325,1156.854,1167.864,1167.875,1155.013,5133762
000001.SH,19990326,1161.12,1155.348,1162.416,1154.936,5151964
000001.SH,19990329,1169.489,1160.576,1169.503,1158.087,5518242
000001.SH,19990330,1157.507,1171.127,1173.66,1156.045,5147192
000001.SH,19990331,1158.054,1156.37,1159.533,1150.82,4842390
000001.SH,19990401,1168.504,1158.681,1168.528,1158.442,6202124
000001.SH,19990402,1184.402,1170.76,1184.433,1170.307,7665532
000001.SH,19990405,1194.469,1188.931,1194.514,1187.059,8071769
000001.SH,19990406,1199.6,1195.948,1199.842,1191.582,6709361
000001.SH,19990407,1201.634,1200.224,1202.32,1193.727,8141675
000001.SH,19990408,1202.469,1203.02,1205.411,1192.462,8176106
000001.SH,19990409,1205.139,1203.442,1210.1,1196.744,9809011
000001.SH,19990412,1195.337,1205.319,1205.677,1193.657,10202961
000001.SH,19990413,1178.192,1192.149,1193.325,1174.135,7348214
000001.SH,19990414,1181.517,1176.771,1184.176,1174.268,5325704
000001.SH,19990415,1170.616,1182.204,1185.593,1168.592,7370369
000001.SH,19990416,1166.237,1168.908,1175.034,1162.31,7241138
000001.SH,19990419,1159.473,1164.616,1166.04,1156.607,7671990
000001.SH,19990420,1171.603,1160.052,1171.603,1159.564,10691399
000001.SH,19990421,1144.065,1171.948,1173.525,1143.045,9520690
000001.SH,19990422,1137.162,1137.91,1140.899,1110.646,9089428
000001.SH,19990423,1139.997,1137.608,1144.778,1135.607,6756822
000001.SH,19990426,1112.791,1139.647,1140.17,1111.995,6041763
000001.SH,19990427,1091.695,1108.911,1108.911,1089.759,5624835
000001.SH,19990428,1091.089,1090.873,1112.29,1087.794,4732066
000001.SH,19990429,1116.405,1091.057,1116.418,1090.564,5046362
000001.SH,19990430,1120.927,1116.107,1122.222,1114.178,4196097
000001.SH,19990504,1111.757,1120.908,1121.91,1108.893,4088966
000001.SH,19990505,1116.932,1110.937,1116.964,1105.346,4374633
000001.SH,19990506,1128.224,1116.855,1128.901,1116.639,6390982
000001.SH,19990507,1120.738,1129.532,1131.493,1117.936,5833327
000001.SH,19990510,1071.927,1107.365,1107.365,1065.18,6881933
000001.SH,19990511,1095.402,1072.044,1095.406,1072.044,4348191
000001.SH,19990512,1099.996,1096.737,1104.809,1092.785,3961647
000001.SH,19990513,1088.863,1100.857,1101.356,1086.458,3660732
000001.SH,19990514,1063.277,1087.942,1088.002,1060.502,4859056
000001.SH,19990517,1065.557,1057.485,1072.166,1047.833,3753625
000001.SH,19990518,1059.874,1066.519,1075.652,1058.386,4004592
000001.SH,19990519,1109.089,1058.7,1109.116,1057.72,5987952
000001.SH,19990520,1147.707,1114.659,1147.727,1113.318,10670592
000001.SH,19990521,1168.72,1154.806,1170.141,1152.261,15705957
000001.SH,19990524,1213.654,1173.132,1215.216,1164.895,20741160
000001.SH,19990525,1202.885,1223.129,1244.84,1198.067,28737594
000001.SH,19990526,1236.046,1199.225,1236.142,1195.843,16205778
000001.SH,19990527,1283.02,1247.322,1283.027,1247.322,22576348
000001.SH,19990528,1277.15,1291.96,1294.641,1260.712,31968358
000001.SH,19990531,1279.326,1287.075,1303.48,1253.251,23473261
000001.SH,19990601,1311.594,1283.3,1311.601,1276.116,17229449
000001.SH,19990602,1287.931,1319.832,1330.278,1287.011,22232502
000001.SH,19990603,1268.324,1280.477,1286.913,1259.008,16661480
000001.SH,19990604,1285.579,1271.168,1288.003,1271.163,13684804
000001.SH,19990607,1326.518,1287.462,1326.611,1285.15,15662290
000001.SH,19990608,1333.644,1336.03,1341.643,1319.497,16198350
000001.SH,19990609,1348.606,1334.849,1350.137,1323.986,15632292
000001.SH,19990610,1364.345,1371.003,1382.074,1353.564,24877430
000001.SH,19990611,1370.39,1364.275,1376.775,1359.277,18841190
000001.SH,19990614,1427.707,1382.532,1427.768,1382.532,25261662
000001.SH,19990615,1387.592,1453.33,1477.142,1366.654,37484679
000001.SH,19990616,1460.168,1402.345,1460.168,1402.304,25207224
000001.SH,19990617,1501.007,1483.064,1501.016,1450.204,36486138
000001.SH,19990618,1498.915,1511.881,1516.127,1480.981,36117505
000001.SH,19990621,1546.408,1506.826,1546.611,1503.401,30698749
000001.SH,19990622,1564.444,1551.875,1564.448,1524.495,31708658
000001.SH,19990623,1606.5,1571.27,1606.5,1566.629,30268817
000001.SH,19990624,1654.11,1615.63,1654.55,1611.985,37620466
000001.SH,19990625,1593.859,1665.985,1705.21,1591.079,57813293
000001.SH,19990628,1693.16,1606.283,1693.161,1606.282,41388041
000001.SH,19990629,1739.205,1722.739,1742.147,1691.342,40105956
000001.SH,19990630,1689.428,1755.561,1756.184,1666.01,48857932
000001.SH,19990701,1560.787,1678.838,1678.838,1540.034,31261230
000001.SH,19990702,1613.533,1570.564,1620.544,1532.444,34384514
000001.SH,19990705,1581.819,1627.246,1630.382,1573.734,24206932
000001.SH,19990706,1517.253,1568.83,1580.232,1504.366,17968515
000001.SH,19990707,1568.652,1515.161,1568.673,1507.546,15721377
000001.SH,19990708,1577.987,1579.143,1591.131,1560.431,14397753
000001.SH,19990709,1584.75,1577.791,1594.578,1563.163,13436957
000001.SH,19990712,1559.732,1588.38,1589.902,1545.563,14089628
000001.SH,19990713,1524.821,1547.344,1547.344,1511.431,12409418
000001.SH,19990714,1559.52,1526.977,1559.663,1526.22,11207532
000001.SH,19990715,1549.336,1565.04,1567.829,1545.07,15974201
000001.SH,19990716,1519.741,1547.46,1547.606,1512.784,14934887
000001.SH,19990719,1479.076,1500.449,1509.994,1473.234,12354935
000001.SH,19990720,1574.603,1476.027,1574.749,1471.509,17311105
000001.SH,19990721,1609.811,1586.885,1626.952,1573.7,27925921
000001.SH,19990722,1550.73,1606.856,1606.856,1548.495,17844477
000001.SH,19990723,1585.98,1552.245,1597.184,1552.237,13301134
000001.SH,19990726,1602.031,1592.414,1607.072,1587.377,12451232
000001.SH,19990727,1590.713,1605.372,1607.047,1580.817,11616828
000001.SH,19990728,1597.199,1592.452,1609.794,1584.246,10701654
000001.SH,19990729,1595.86,1610.116,1615.749,1585.839,8743001
000001.SH,19990730,1601.459,1599.938,1605.273,1587.338,14561643
000001.SH,19990802,1616.276,1607.062,1622.383,1603.369,11658737
000001.SH,19990803,1626.841,1622.301,1626.91,1609.124,12627962
000001.SH,19990804,1649.128,1630.99,1649.258,1630.99,15286511
000001.SH,19990805,1653.537,1654.526,1658.69,1641.862,14621739
000001.SH,19990806,1646.593,1655.306,1656.585,1601.843,19213336
000001.SH,19990809,1628.836,1650.277,1651.635,1624.721,13480224
000001.SH,19990810,1602.147,1622.967,1623.026,1597.22,12440019
000001.SH,19990811,1583.401,1598.015,1607.677,1574.714,9470120
000001.SH,19990812,1575.642,1583.512,1594.889,1566.714,7433800
000001.SH,19990813,1571.901,1581.23,1591.493,1569.302,6676833
000001.SH,19990816,1560.068,1568.899,1570.211,1546.837,7269846
000001.SH,19990817,1576.405,1562.56,1596.151,1562.56,8980644
000001.SH,19990818,1581.929,1578.263,1582.016,1555.976,6820448
000001.SH,19990819,1637.743,1587.898,1645.842,1587.87,15472976
000001.SH,19990820,1628.934,1645.543,1651.174,1627.039,11817644
000001.SH,19990823,1644.999,1631.435,1645.004,1626.954,10643616
000001.SH,19990824,1648.469,1650.537,1655.142,1638.963,10960981
000001.SH,19990825,1625.765,1649.609,1651.092,1618.54,9267888
000001.SH,19990826,1638.233,1622.166,1638.233,1615.855,8239467
000001.SH,19990827,1633.9,1642.061,1644.471,1627.255,8223116
000001.SH,19990830,1619.039,1635.553,1637.31,1614.448,8956626
000001.SH,19990831,1627.116,1622.877,1630.014,1609.796,7354984
000001.SH,19990901,1599.552,1627.821,1629.076,1595.963,6859137
000001.SH,19990902,1611.958,1591.583,1614.106,1572.417,8134460
000001.SH,19990903,1587.887,1613.304,1614.412,1583.45,6856597
000001.SH,19990906,1560.678,1577.505,1577.562,1556.834,5539177
000001.SH,19990907,1562.794,1558.861,1574.648,1556.741,4671920
000001.SH,19990908,1571.598,1563.621,1581.932,1563.605,4179847
